分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 192, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.84 M/s, 平均速率: 15.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 6, IPv4: 107, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.49 M/s, 平均速率: 16.16 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 6, IPv4: 94, IPv6: 0, 最小延迟: 49 ms, 最高速率: 19.92 M/s, 平均速率: 14.49 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 189, IPv6: 0, 最小延迟: 70 ms, 最高速率: 14.41 M/s, 平均速率: 10.12 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 188, IPv6: 0, 最小延迟: 49 ms, 最高速率: 20.92 M/s, 平均速率: 16.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 8, IPv4: 158, IPv6: 0, 最小延迟: 48 ms, 最高速率: 19.38 M/s, 平均速率: 13.26 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 186, IPv6: 0, 最小延迟: 58 ms, 最高速率: 17.95 M/s, 平均速率: 13.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 232, IPv6: 0, 最小延迟: 49 ms, 最高速率: 19.91 M/s, 平均速率: 13.80 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 189, IPv6: 0, 最小延迟: 55 ms, 最高速率: 18.28 M/s, 平均速率: 15.54 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 169, IPv6: 0, 最小延迟: 51 ms, 最高速率: 19.63 M/s, 平均速率: 12.81 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 161, IPv6: 0, 最小延迟: 50 ms, 最高速率: 20.23 M/s, 平均速率: 15.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 202, IPv6: 0, 最小延迟: 48 ms, 最高速率: 20.29 M/s, 平均速率: 13.60 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 75, IPv6: 0, 最小延迟: 47 ms, 最高速率: 20.06 M/s, 平均速率: 13.53 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 65 ms, 最高速率: 15.22 M/s, 平均速率: 14.16 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 123, IPv6: 0, 最小延迟: 81 ms, 最高速率: 13.61 M/s, 平均速率: 12.52 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 1, IPv4: 100, IPv6: 0, 最小延迟: 425 ms, 最高速率: 10.06 M/s, 平均速率: 10.06 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 192, IPv6: 0, 最小延迟: 61 ms, 最高速率: 15.32 M/s, 平均速率: 12.57 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 6, IPv4: 198, IPv6: 0, 最小延迟: 65 ms, 最高速率: 14.54 M/s, 平均速率: 8.77 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 189, IPv6: 0, 最小延迟: 19 ms, 最高速率: 13.47 M/s, 平均速率: 11.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 70 ms, 最高速率: 13.47 M/s, 平均速率: 10.08 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 69 ms, 最高速率: 14.21 M/s, 平均速率: 11.85 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 208, IPv6: 0, 最小延迟: 63 ms, 最高速率: 14.96 M/s, 平均速率: 12.60 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 4, IPv4: 69, IPv6: 0, 最小延迟: 64 ms, 最高速率: 14.96 M/s, 平均速率: 13.26 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 87, IPv6: 0, 最小延迟: 49 ms, 最高速率: 19.81 M/s, 平均速率: 19.48 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 130, IPv6: 0, 最小延迟: 67 ms, 最高速率: 14.84 M/s, 平均速率: 11.85 M/s, 最高分辨率: 1920x1080
